Desc,Tipohog,Total,Freq.,index
Uni -65,“1.1.1”,234861,0.179601003913796,1
Uni +65,“1.1.2”,164233,0.125590931128516,2
Uni menor,“1.2.3”,31560,0.0241343078821915,3
2 adultos y 1 menor,“2.1.1”,70132,0.0536307756778789,6
2 adultos y 2 menores,“2.1.2”,64353,0.0492115055495143,7
2 adultos y 3 o más menores,“2.1.3”,15179,0.0116075620831364,8
2 adultos uno al menos de 65 o más años sin menores,“2.2.1”,175581,0.134268881884128,5
3 y más  uno al menos de 65 o más años sin menores,“2.2.2”,173675,0.132811340983511,10
2 adultos de 16 a 64 años sin menores,“2.3.1”,163183,0.12478798362293,4
2 y más  adultos de 16 a 64 años sin menores,“2.3.2”,214925,0.164355707274399,9
